"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.000388","192.168.123.45","192.168.123.26","TCP","74","43388  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=272649362 TSecr=0 WS=128"
"4","0.000422","192.168.123.26","192.168.123.45","TCP","74","666  >  43388 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3091446385 TSecr=272649362 WS=128"
"5","0.000451","192.168.123.45","192.168.123.26","TCP","66","43388  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=272649363 TSecr=3091446385"
"6","0.000675","192.168.123.45","192.168.123.26","TLSv1.3","353","Client Hello"
"7","0.000743","192.168.123.26","192.168.123.45","TCP","66","666  >  43388 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=3091446385 TSecr=272649363"
"8","0.002357","192.168.123.26","192.168.123.45","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"9","0.002410","192.168.123.45","192.168.123.26","TCP","66","43388  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=272649365 TSecr=3091446386"
"10","0.004470","192.168.123.45","192.168.123.26","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"11","0.004509","192.168.123.26","192.168.123.45","TCP","66","666  >  43388 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=3091446389 TSecr=272649367"
"12","0.004965","192.168.123.26","192.168.123.45","TLSv1.3","769","Application Data"
"13","0.004994","192.168.123.45","192.168.123.26","TCP","66","43388  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=272649367 TSecr=3091446389"
"14","0.005169","192.168.123.26","192.168.123.45","TLSv1.3","769","Application Data"
"15","0.005198","192.168.123.45","192.168.123.26","TCP","66","43388  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=272649367 TSecr=3091446389"
"18","0.079379","192.168.123.47","192.168.123.26","TCP","74","60840  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3327238776 TSecr=0 WS=128"
"19","0.079430","192.168.123.26","192.168.123.47","TCP","74","666  >  60840 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3242335390 TSecr=3327238776 WS=128"
"20","0.079473","192.168.123.47","192.168.123.26","TCP","66","60840  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3327238777 TSecr=3242335390"
"21","0.079805","192.168.123.47","192.168.123.26","TLSv1.3","353","Client Hello"
"22","0.079869","192.168.123.26","192.168.123.47","TCP","66","666  >  60840 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=3242335390 TSecr=3327238777"
"23","0.081269","192.168.123.26","192.168.123.47","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"24","0.081312","192.168.123.47","192.168.123.26","TCP","66","60840  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=3327238778 TSecr=3242335391"
"25","0.083350","192.168.123.47","192.168.123.26","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"26","0.083387","192.168.123.26","192.168.123.47","TCP","66","666  >  60840 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=3242335393 TSecr=3327238780"
"27","0.084061","192.168.123.26","192.168.123.47","TLSv1.3","769","Application Data"
"28","0.084107","192.168.123.47","192.168.123.26","TCP","66","60840  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=3327238781 TSecr=3242335394"
"29","0.084235","192.168.123.26","192.168.123.47","TLSv1.3","769","Application Data"
"30","0.084262","192.168.123.47","192.168.123.26","TCP","66","60840  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=3327238781 TSecr=3242335394"
"33","0.093543","192.168.123.27","192.168.123.26","TCP","74","43700  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3691951211 TSecr=0 WS=128"
