"No.","Time","Source","Destination","Protocol","Length","Info"
"5","3.301858","192.168.123.65","192.168.123.48","TCP","74","55072  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2425039665 TSecr=0 WS=128"
"6","3.301912","192.168.123.48","192.168.123.65","TCP","74","666  >  55072 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2232786518 TSecr=2425039665 WS=128"
"7","3.301958","192.168.123.65","192.168.123.48","TCP","66","55072  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2425039666 TSecr=2232786518"
"8","3.302294","192.168.123.65","192.168.123.48","TLSv1.3","353","Client Hello"
"9","3.302384","192.168.123.48","192.168.123.65","TCP","66","666  >  55072 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=2232786519 TSecr=2425039666"
"10","3.304059","192.168.123.48","192.168.123.65","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"11","3.304119","192.168.123.65","192.168.123.48","TCP","66","55072  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=2425039668 TSecr=2232786520"
"12","3.308355","192.168.123.65","192.168.123.48","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"13","3.308403","192.168.123.48","192.168.123.65","TCP","66","666  >  55072 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=2232786525 TSecr=2425039673"
"14","3.308900","192.168.123.48","192.168.123.65","TLSv1.3","769","Application Data"
"15","3.308934","192.168.123.65","192.168.123.48","TCP","66","55072  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=2425039673 TSecr=2232786525"
"16","3.309067","192.168.123.48","192.168.123.65","TLSv1.3","769","Application Data"
"17","3.309091","192.168.123.65","192.168.123.48","TCP","66","55072  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=2425039673 TSecr=2232786525"
"20","3.332768","192.168.123.11","192.168.123.48","TCP","74","56164  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4226042094 TSecr=0 WS=128"
"21","3.332815","192.168.123.48","192.168.123.11","TCP","74","666  >  56164 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3400124287 TSecr=4226042094 WS=128"
"22","3.332862","192.168.123.11","192.168.123.48","TCP","66","56164  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4226042095 TSecr=3400124287"
"23","3.333125","192.168.123.11","192.168.123.48","TLSv1.3","353","Client Hello"
"24","3.333211","192.168.123.48","192.168.123.11","TCP","66","666  >  56164 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=3400124287 TSecr=4226042095"
"25","3.334574","192.168.123.48","192.168.123.11","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"26","3.334613","192.168.123.11","192.168.123.48","TCP","66","56164  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=4226042097 TSecr=3400124289"
"27","3.336664","192.168.123.11","192.168.123.48","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"28","3.336705","192.168.123.48","192.168.123.11","TCP","66","666  >  56164 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=3400124291 TSecr=4226042099"
"29","3.337243","192.168.123.48","192.168.123.11","TLSv1.3","769","Application Data"
"30","3.337278","192.168.123.11","192.168.123.48","TCP","66","56164  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=4226042099 TSecr=3400124291"
"31","3.337391","192.168.123.48","192.168.123.11","TLSv1.3","769","Application Data"
"32","3.337415","192.168.123.11","192.168.123.48","TCP","66","56164  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=4226042100 TSecr=3400124292"
