"No.","Time","Source","Destination","Protocol","Length","Info"
"7","3.236900","192.168.123.39","192.168.123.53","TCP","74","52708  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1026304728 TSecr=0 WS=128"
"8","3.236939","192.168.123.53","192.168.123.39","TCP","74","666  >  52708 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=56008623 TSecr=1026304728 WS=128"
"9","3.236973","192.168.123.39","192.168.123.53","TCP","66","52708  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1026304729 TSecr=56008623"
"10","3.237195","192.168.123.39","192.168.123.53","TLSv1.3","353","Client Hello"
"11","3.237252","192.168.123.53","192.168.123.39","TCP","66","666  >  52708 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=56008623 TSecr=1026304729"
"12","3.238657","192.168.123.53","192.168.123.39","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"13","3.238692","192.168.123.39","192.168.123.53","TCP","66","52708  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=1026304731 TSecr=56008625"
"14","3.240281","192.168.123.39","192.168.123.53","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"15","3.240314","192.168.123.53","192.168.123.39","TCP","66","666  >  52708 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=56008626 TSecr=1026304732"
"16","3.240900","192.168.123.53","192.168.123.39","TLSv1.3","769","Application Data"
"17","3.240930","192.168.123.39","192.168.123.53","TCP","66","52708  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=1026304733 TSecr=56008627"
"18","3.241061","192.168.123.53","192.168.123.39","TLSv1.3","769","Application Data"
"19","3.241097","192.168.123.39","192.168.123.53","TCP","66","52708  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=1026304733 TSecr=56008627"
"22","3.369765","192.168.123.31","192.168.123.53","TCP","74","48940  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3425766301 TSecr=0 WS=128"
"23","3.369804","192.168.123.53","192.168.123.31","TCP","74","666  >  48940 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3428106037 TSecr=3425766301 WS=128"
"24","3.369835","192.168.123.31","192.168.123.53","TCP","66","48940  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3425766302 TSecr=3428106037"
"25","3.370101","192.168.123.31","192.168.123.53","TLSv1.3","353","Client Hello"
"26","3.370165","192.168.123.53","192.168.123.31","TCP","66","666  >  48940 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=3428106037 TSecr=3425766302"
"27","3.371607","192.168.123.53","192.168.123.31","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"28","3.371666","192.168.123.31","192.168.123.53","TCP","66","48940  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=3425766304 TSecr=3428106039"
"29","3.372870","192.168.123.31","192.168.123.53","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"30","3.372905","192.168.123.53","192.168.123.31","TCP","66","666  >  48940 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=3428106040 TSecr=3425766305"
"31","3.373506","192.168.123.53","192.168.123.31","TLSv1.3","769","Application Data"
"32","3.373542","192.168.123.31","192.168.123.53","TCP","66","48940  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=3425766306 TSecr=3428106040"
"33","3.373720","192.168.123.53","192.168.123.31","TLSv1.3","769","Application Data"
"34","3.373755","192.168.123.31","192.168.123.53","TCP","66","48940  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=3425766306 TSecr=3428106041"
"37","3.385416","192.168.123.29","192.168.123.53","TCP","74","47790  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=995517855 TSecr=0 WS=128"
"38","3.385454","192.168.123.53","192.168.123.29","TCP","74","666  >  47790 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2707142042 TSecr=995517855 WS=128"
"39","3.385484","192.168.123.29","192.168.123.53","TCP","66","47790  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=995517856 TSecr=2707142042"
"40","3.385721","192.168.123.29","192.168.123.53","TLSv1.3","353","Client Hello"
"41","3.385780","192.168.123.53","192.168.123.29","TCP","66","666  >  47790 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=2707142043 TSecr=995517857"
"42","3.387230","192.168.123.53","192.168.123.29","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"43","3.387277","192.168.123.29","192.168.123.53","TCP","66","47790  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=995517858 TSecr=2707142044"
"44","3.390803","192.168.123.29","192.168.123.53","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"45","3.390834","192.168.123.53","192.168.123.29","TCP","66","666  >  47790 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=2707142048 TSecr=995517862"
"46","3.391339","192.168.123.53","192.168.123.29","TLSv1.3","769","Application Data"
"47","3.391453","192.168.123.53","192.168.123.29","TLSv1.3","769","Application Data"
"48","3.391531","192.168.123.29","192.168.123.53","TCP","66","47790  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=995517863 TSecr=2707142048"
"49","3.391554","192.168.123.29","192.168.123.53","TCP","66","47790  >  666 [ACK] Seq=978 Ack=2805 Win=62848 Len=0 TSval=995517863 TSecr=2707142048"
