"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.000084","192.168.123.6","192.168.123.2","TCP","74","54808  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4096687849 TSecr=0 WS=128"
"4","0.000123","192.168.123.2","192.168.123.6","TCP","74","666  >  54808 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1428563909 TSecr=4096687849 WS=128"
"5","0.000140","192.168.123.6","192.168.123.2","TCP","66","54808  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4096687849 TSecr=1428563909"
"6","0.000352","192.168.123.6","192.168.123.2","TLSv1.3","353","Client Hello"
"7","0.000397","192.168.123.2","192.168.123.6","TCP","66","666  >  54808 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1428563910 TSecr=4096687850"
"8","0.001933","192.168.123.2","192.168.123.6","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"9","0.001958","192.168.123.6","192.168.123.2","TCP","66","54808  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=4096687851 TSecr=1428563911"
"10","0.004413","192.168.123.6","192.168.123.2","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"11","0.004435","192.168.123.2","192.168.123.6","TCP","66","666  >  54808 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=1428563914 TSecr=4096687854"
"12","0.004844","192.168.123.2","192.168.123.6","TLSv1.3","769","Application Data"
"13","0.004933","192.168.123.2","192.168.123.6","TLSv1.3","769","Application Data"
"14","0.004996","192.168.123.6","192.168.123.2","TCP","66","54808  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=4096687854 TSecr=1428563914"
"15","0.005009","192.168.123.6","192.168.123.2","TCP","66","54808  >  666 [ACK] Seq=978 Ack=2805 Win=62848 Len=0 TSval=4096687854 TSecr=1428563914"
"18","0.022791","192.168.123.5","192.168.123.2","TCP","74","43444  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3740094152 TSecr=0 WS=128"
"19","0.022812","192.168.123.2","192.168.123.5","TCP","74","666  >  43444 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=276408044 TSecr=3740094152 WS=128"
"20","0.022830","192.168.123.5","192.168.123.2","TCP","66","43444  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3740094152 TSecr=276408044"
