"No.","Time","Source","Destination","Protocol","Length","Info"
"4","0.000215","192.168.123.15","192.168.123.3","TCP","74","53316  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2754423510 TSecr=0 WS=128"
"5","0.000244","192.168.123.3","192.168.123.15","TCP","74","666  >  53316 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1832849067 TSecr=2754423510 WS=128"
"6","0.000268","192.168.123.15","192.168.123.3","TCP","66","53316  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2754423510 TSecr=1832849067"
"8","0.000349","192.168.123.17","192.168.123.3","TCP","74","36312  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1365415128 TSecr=0 WS=128"
"9","0.000373","192.168.123.3","192.168.123.17","TCP","74","666  >  36312 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=603740995 TSecr=1365415128 WS=128"
"10","0.000394","192.168.123.17","192.168.123.3","TCP","66","36312  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1365415128 TSecr=603740995"
"11","0.000484","192.168.123.15","192.168.123.3","TLSv1.3","353","Client Hello"
"12","0.000533","192.168.123.3","192.168.123.15","TCP","66","666  >  53316 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1832849068 TSecr=2754423511"
"13","0.000578","192.168.123.17","192.168.123.3","TLSv1.3","353","Client Hello"
"14","0.000645","192.168.123.3","192.168.123.17","TCP","66","666  >  36312 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=603740996 TSecr=1365415129"
"15","0.002196","192.168.123.3","192.168.123.17","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"16","0.002220","192.168.123.17","192.168.123.3","TCP","66","36312  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=1365415130 TSecr=603740997"
"17","0.002827","192.168.123.3","192.168.123.15","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"18","0.002862","192.168.123.15","192.168.123.3","TCP","66","53316  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=2754423513 TSecr=1832849070"
"19","0.003381","192.168.123.17","192.168.123.3","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"20","0.003406","192.168.123.3","192.168.123.17","TCP","66","666  >  36312 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=603740998 TSecr=1365415131"
"21","0.004003","192.168.123.3","192.168.123.17","TLSv1.3","769","Application Data"
"22","0.004046","192.168.123.17","192.168.123.3","TCP","66","36312  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=1365415132 TSecr=603740999"
"23","0.004195","192.168.123.3","192.168.123.17","TLSv1.3","769","Application Data"
"24","0.004209","192.168.123.17","192.168.123.3","TCP","66","36312  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=1365415132 TSecr=603740999"
"27","0.006939","192.168.123.26","192.168.123.3","TCP","74","37438  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3434121383 TSecr=0 WS=128"
"28","0.006962","192.168.123.3","192.168.123.26","TCP","74","666  >  37438 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=444959547 TSecr=3434121383 WS=128"
"29","0.006983","192.168.123.26","192.168.123.3","TCP","66","37438  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3434121383 TSecr=444959547"
"30","0.007228","192.168.123.26","192.168.123.3","TLSv1.3","353","Client Hello"
"31","0.007277","192.168.123.3","192.168.123.26","TCP","66","666  >  37438 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=444959547 TSecr=3434121383"
"32","0.007293","192.168.123.15","192.168.123.3","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"33","0.007318","192.168.123.3","192.168.123.15","TCP","66","666  >  53316 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=1832849074 TSecr=2754423517"
"34","0.007821","192.168.123.3","192.168.123.15","TLSv1.3","769","Application Data"
"35","0.007845","192.168.123.15","192.168.123.3","TCP","66","53316  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=2754423518 TSecr=1832849075"
"36","0.007941","192.168.123.3","192.168.123.15","TLSv1.3","769","Application Data"
"37","0.007971","192.168.123.15","192.168.123.3","TCP","66","53316  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=2754423518 TSecr=1832849075"
"38","0.008581","192.168.123.3","192.168.123.26","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"39","0.008607","192.168.123.26","192.168.123.3","TCP","66","37438  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=3434121385 TSecr=444959549"
"40","0.009768","192.168.123.26","192.168.123.3","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"41","0.009789","192.168.123.3","192.168.123.26","TCP","66","666  >  37438 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=444959550 TSecr=3434121386"
"42","0.010424","192.168.123.3","192.168.123.26","TLSv1.3","769","Application Data"
"43","0.010450","192.168.123.26","192.168.123.3","TCP","66","37438  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=3434121386 TSecr=444959550"
"44","0.010567","192.168.123.3","192.168.123.26","TLSv1.3","769","Application Data"
"45","0.010581","192.168.123.26","192.168.123.3","TCP","66","37438  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=3434121387 TSecr=444959551"
"48","0.016198","192.168.123.5","192.168.123.3","TCP","74","46492  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=574399577 TSecr=0 WS=128"
"49","0.016221","192.168.123.3","192.168.123.5","TCP","74","666  >  46492 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1149779628 TSecr=574399577 WS=128"
"50","0.016240","192.168.123.5","192.168.123.3","TCP","66","46492  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=574399577 TSecr=1149779628"
"51","0.016419","192.168.123.5","192.168.123.3","TLSv1.3","353","Client Hello"
"52","0.016481","192.168.123.3","192.168.123.5","TCP","66","666  >  46492 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1149779628 TSecr=574399577"
"53","0.018037","192.168.123.3","192.168.123.5","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"54","0.018067","192.168.123.5","192.168.123.3","TCP","66","46492  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=574399579 TSecr=1149779630"
"55","0.022495","192.168.123.5","192.168.123.3","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"56","0.022516","192.168.123.3","192.168.123.5","TCP","66","666  >  46492 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=1149779635 TSecr=574399584"
"57","0.023060","192.168.123.3","192.168.123.5","TLSv1.3","769","Application Data"
"58","0.023081","192.168.123.5","192.168.123.3","TCP","66","46492  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=574399584 TSecr=1149779635"
"59","0.023190","192.168.123.3","192.168.123.5","TLSv1.3","769","Application Data"
"60","0.023204","192.168.123.5","192.168.123.3","TCP","66","46492  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=574399584 TSecr=1149779635"
"63","0.033749","192.168.123.4","192.168.123.3","TCP","74","41962  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3617088741 TSecr=0 WS=128"
"64","0.033773","192.168.123.3","192.168.123.4","TCP","74","666  >  41962 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=296214943 TSecr=3617088741 WS=128"
"65","0.033793","192.168.123.4","192.168.123.3","TCP","66","41962  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3617088741 TSecr=296214943"
"66","0.034024","192.168.123.4","192.168.123.3","TLSv1.3","353","Client Hello"
"67","0.034084","192.168.123.3","192.168.123.4","TCP","66","666  >  41962 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=296214943 TSecr=3617088741"
"68","0.034884","192.168.123.3","192.168.123.4","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"69","0.034908","192.168.123.4","192.168.123.3","TCP","66","41962  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=3617088742 TSecr=296214944"
"70","0.038651","192.168.123.4","192.168.123.3","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"71","0.038670","192.168.123.3","192.168.123.4","TCP","66","666  >  41962 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=296214948 TSecr=3617088746"
"72","0.039237","192.168.123.3","192.168.123.4","TLSv1.3","769","Application Data"
"73","0.039257","192.168.123.4","192.168.123.3","TCP","66","41962  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=3617088746 TSecr=296214948"
"74","0.039396","192.168.123.3","192.168.123.4","TLSv1.3","769","Application Data"
"75","0.039425","192.168.123.4","192.168.123.3","TCP","66","41962  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=3617088746 TSecr=296214948"
