"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.000106","192.168.123.3","192.168.123.5","TCP","74","33406  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1149564149 TSecr=0 WS=128"
"4","0.000147","192.168.123.5","192.168.123.3","TCP","74","666  >  33406 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=574184098 TSecr=1149564149 WS=128"
"5","0.000168","192.168.123.3","192.168.123.5","TCP","66","33406  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1149564149 TSecr=574184098"
"6","0.000438","192.168.123.3","192.168.123.5","TLSv1.3","353","Client Hello"
"7","0.000485","192.168.123.5","192.168.123.3","TCP","66","666  >  33406 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=574184099 TSecr=1149564150"
"8","0.002017","192.168.123.5","192.168.123.3","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"9","0.002058","192.168.123.3","192.168.123.5","TCP","66","33406  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=1149564151 TSecr=574184100"
"10","0.009677","192.168.123.3","192.168.123.5","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"11","0.009695","192.168.123.5","192.168.123.3","TCP","66","666  >  33406 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=574184108 TSecr=1149564159"
"12","0.010068","192.168.123.5","192.168.123.3","TLSv1.3","769","Application Data"
"13","0.010154","192.168.123.5","192.168.123.3","TLSv1.3","769","Application Data"
"14","0.010214","192.168.123.3","192.168.123.5","TCP","66","33406  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=1149564159 TSecr=574184108"
"15","0.010228","192.168.123.3","192.168.123.5","TCP","66","33406  >  666 [ACK] Seq=978 Ack=2805 Win=62848 Len=0 TSval=1149564159 TSecr=574184108"
"18","0.059849","192.168.123.7","192.168.123.5","TCP","74","33446  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=639499845 TSecr=0 WS=128"
"19","0.059882","192.168.123.5","192.168.123.7","TCP","74","666  >  33446 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1613130059 TSecr=639499845 WS=128"
"20","0.059920","192.168.123.7","192.168.123.5","TCP","66","33446  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=639499845 TSecr=1613130059"
"21","0.060167","192.168.123.7","192.168.123.5","TLSv1.3","353","Client Hello"
"22","0.060216","192.168.123.5","192.168.123.7","TCP","66","666  >  33446 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1613130059 TSecr=639499845"
"23","0.061672","192.168.123.5","192.168.123.7","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"24","0.061699","192.168.123.7","192.168.123.5","TCP","66","33446  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=639499847 TSecr=1613130061"
"27","0.064301","192.168.123.11","192.168.123.5","TCP","74","39722  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2367331737 TSecr=0 WS=128"
"28","0.064333","192.168.123.5","192.168.123.11","TCP","74","666  >  39722 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=765981770 TSecr=2367331737 WS=128"
"29","0.064361","192.168.123.11","192.168.123.5","TCP","66","39722  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2367331738 TSecr=765981770"
"30","0.064382","192.168.123.7","192.168.123.5","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"31","0.064411","192.168.123.5","192.168.123.7","TCP","66","666  >  33446 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=1613130064 TSecr=639499850"
"32","0.064688","192.168.123.11","192.168.123.5","TLSv1.3","353","Client Hello"
"33","0.064781","192.168.123.5","192.168.123.11","TCP","66","666  >  39722 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=765981770 TSecr=2367331738"
"36","0.064889","192.168.123.9","192.168.123.5","TCP","74","53306  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1608666586 TSecr=0 WS=128"
"37","0.064921","192.168.123.5","192.168.123.9","TCP","74","666  >  53306 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2852537150 TSecr=1608666586 WS=128"
"38","0.064949","192.168.123.9","192.168.123.5","TCP","66","53306  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1608666586 TSecr=2852537150"
"39","0.064975","192.168.123.5","192.168.123.7","TLSv1.3","769","Application Data"
"40","0.064999","192.168.123.7","192.168.123.5","TCP","66","33446  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=639499850 TSecr=1613130064"
"41","0.065119","192.168.123.5","192.168.123.7","TLSv1.3","769","Application Data"
"42","0.065133","192.168.123.7","192.168.123.5","TCP","66","33446  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=639499850 TSecr=1613130064"
"43","0.065265","192.168.123.9","192.168.123.5","TLSv1.3","353","Client Hello"
"44","0.065346","192.168.123.5","192.168.123.9","TCP","66","666  >  53306 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=2852537150 TSecr=1608666586"
"45","0.066181","192.168.123.5","192.168.123.11","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
