"No.","Time","Source","Destination","Protocol","Length","Info"
"5","1.646747","192.168.123.5","192.168.123.20","TCP","74","39420  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=910590870 TSecr=0 WS=128"
"6","1.646818","192.168.123.20","192.168.123.5","TCP","74","666  >  39420 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3139907700 TSecr=910590870 WS=128"
"7","1.646859","192.168.123.5","192.168.123.20","TCP","66","39420  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=910590870 TSecr=3139907700"
"8","1.647090","192.168.123.5","192.168.123.20","TLSv1.3","353","Client Hello"
"9","1.647157","192.168.123.20","192.168.123.5","TCP","66","666  >  39420 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=3139907700 TSecr=910590870"
"10","1.648480","192.168.123.20","192.168.123.5","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"11","1.648503","192.168.123.5","192.168.123.20","TCP","66","39420  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=910590872 TSecr=3139907702"
"12","1.655832","192.168.123.5","192.168.123.20","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"13","1.655852","192.168.123.20","192.168.123.5","TCP","66","666  >  39420 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=3139907709 TSecr=910590879"
"14","1.656336","192.168.123.20","192.168.123.5","TLSv1.3","769","Application Data"
"15","1.656423","192.168.123.20","192.168.123.5","TLSv1.3","769","Application Data"
"16","1.656487","192.168.123.5","192.168.123.20","TCP","66","39420  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=910590880 TSecr=3139907710"
"17","1.656501","192.168.123.5","192.168.123.20","TCP","66","39420  >  666 [ACK] Seq=978 Ack=2805 Win=62848 Len=0 TSval=910590880 TSecr=3139907710"
"20","1.694697","192.168.123.9","192.168.123.20","TCP","74","34986  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=697399152 TSecr=0 WS=128"
"21","1.694751","192.168.123.20","192.168.123.9","TCP","74","666  >  34986 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=481967159 TSecr=697399152 WS=128"
"22","1.694775","192.168.123.9","192.168.123.20","TCP","66","34986  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=697399152 TSecr=481967159"
"23","1.694993","192.168.123.9","192.168.123.20","TLSv1.3","353","Client Hello"
"24","1.695086","192.168.123.20","192.168.123.9","TCP","66","666  >  34986 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=481967159 TSecr=697399152"
"25","1.696805","192.168.123.20","192.168.123.9","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"26","1.696831","192.168.123.9","192.168.123.20","TCP","66","34986  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=697399154 TSecr=481967161"
"27","1.701071","192.168.123.9","192.168.123.20","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"28","1.701104","192.168.123.20","192.168.123.9","TCP","66","666  >  34986 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=481967165 TSecr=697399158"
"29","1.701636","192.168.123.20","192.168.123.9","TLSv1.3","769","Application Data"
"30","1.701659","192.168.123.9","192.168.123.20","TCP","66","34986  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=697399159 TSecr=481967166"
"31","1.701764","192.168.123.20","192.168.123.9","TLSv1.3","769","Application Data"
"32","1.701776","192.168.123.9","192.168.123.20","TCP","66","34986  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=697399159 TSecr=481967166"
"35","1.702981","192.168.123.2","192.168.123.20","TCP","74","36964  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=230784893 TSecr=0 WS=128"
"36","1.703007","192.168.123.20","192.168.123.2","TCP","74","666  >  36964 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=238768327 TSecr=230784893 WS=128"
"37","1.703027","192.168.123.2","192.168.123.20","TCP","66","36964  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=230784893 TSecr=238768327"
"38","1.703223","192.168.123.2","192.168.123.20","TLSv1.3","353","Client Hello"
"39","1.703275","192.168.123.20","192.168.123.2","TCP","66","666  >  36964 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=238768328 TSecr=230784894"
"42","1.704653","192.168.123.8","192.168.123.20","TCP","74","38406  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2018949443 TSecr=0 WS=128"
"43","1.704685","192.168.123.20","192.168.123.8","TCP","74","666  >  38406 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2111375948 TSecr=2018949443 WS=128"
"44","1.704728","192.168.123.8","192.168.123.20","TCP","66","38406  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2018949443 TSecr=2111375948"
"45","1.704803","192.168.123.20","192.168.123.2","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"46","1.704848","192.168.123.2","192.168.123.20","TCP","66","36964  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=230784895 TSecr=238768329"
"47","1.705014","192.168.123.8","192.168.123.20","TLSv1.3","353","Client Hello"
"48","1.705081","192.168.123.20","192.168.123.8","TCP","66","666  >  38406 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=2111375948 TSecr=2018949443"
"49","1.705829","192.168.123.20","192.168.123.8","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"50","1.705856","192.168.123.8","192.168.123.20","TCP","66","38406  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=2018949444 TSecr=2111375949"
"53","1.706149","192.168.123.19","192.168.123.20","TCP","74","45640  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2576374929 TSecr=0 WS=128"
"54","1.706172","192.168.123.20","192.168.123.19","TCP","74","666  >  45640 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2908828405 TSecr=2576374929 WS=128"
"55","1.706192","192.168.123.19","192.168.123.20","TCP","66","45640  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2576374930 TSecr=2908828405"
"56","1.706389","192.168.123.19","192.168.123.20","TLSv1.3","353","Client Hello"
"57","1.706438","192.168.123.20","192.168.123.19","TCP","66","666  >  45640 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=2908828405 TSecr=2576374930"
"58","1.706869","192.168.123.2","192.168.123.20","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"59","1.706902","192.168.123.20","192.168.123.2","TCP","66","666  >  36964 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=238768331 TSecr=230784897"
"60","1.707515","192.168.123.20","192.168.123.2","TLSv1.3","769","Application Data"
"61","1.707670","192.168.123.20","192.168.123.2","TLSv1.3","769","Application Data"
"62","1.707720","192.168.123.20","192.168.123.19","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"63","1.707746","192.168.123.19","192.168.123.20","TCP","66","45640  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=2576374931 TSecr=2908828406"
"64","1.707761","192.168.123.2","192.168.123.20","TCP","66","36964  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=230784898 TSecr=238768332"
"65","1.707786","192.168.123.2","192.168.123.20","TCP","66","36964  >  666 [ACK] Seq=978 Ack=2805 Win=62848 Len=0 TSval=230784898 TSecr=238768332"
"66","1.710373","192.168.123.8","192.168.123.20","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"67","1.710397","192.168.123.20","192.168.123.8","TCP","66","666  >  38406 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=2111375954 TSecr=2018949449"
"68","1.711003","192.168.123.20","192.168.123.8","TLSv1.3","769","Application Data"
"69","1.711152","192.168.123.20","192.168.123.8","TLSv1.3","769","Application Data"
"70","1.711236","192.168.123.8","192.168.123.20","TCP","66","38406  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=2018949450 TSecr=2111375954"
"71","1.711258","192.168.123.8","192.168.123.20","TCP","66","38406  >  666 [ACK] Seq=978 Ack=2805 Win=62848 Len=0 TSval=2018949450 TSecr=2111375954"
"72","1.711890","192.168.123.19","192.168.123.20","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"73","1.711912","192.168.123.20","192.168.123.19","TCP","66","666  >  45640 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=2908828410 TSecr=2576374935"
"74","1.712349","192.168.123.20","192.168.123.19","TLSv1.3","769","Application Data"
"75","1.712449","192.168.123.20","192.168.123.19","TLSv1.3","769","Application Data"
