"No.","Time","Source","Destination","Protocol","Length","Info"
"13","1.125789","192.168.123.17","192.168.123.9","TCP","74","53538  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2515672471 TSecr=0 WS=128"
"14","1.125822","192.168.123.9","192.168.123.17","TCP","74","666  >  53538 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2763000499 TSecr=2515672471 WS=128"
"15","1.125857","192.168.123.17","192.168.123.9","TCP","66","53538  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2515672471 TSecr=2763000499"
"16","1.126101","192.168.123.17","192.168.123.9","TLSv1.3","353","Client Hello"
"17","1.126167","192.168.123.9","192.168.123.17","TCP","66","666  >  53538 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=2763000500 TSecr=2515672472"
"18","1.127557","192.168.123.9","192.168.123.17","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"19","1.127597","192.168.123.17","192.168.123.9","TCP","66","53538  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=2515672473 TSecr=2763000501"
"20","1.129669","192.168.123.17","192.168.123.9","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"21","1.129697","192.168.123.9","192.168.123.17","TCP","66","666  >  53538 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=2763000503 TSecr=2515672475"
"22","1.130187","192.168.123.9","192.168.123.17","TLSv1.3","769","Application Data"
"23","1.130313","192.168.123.17","192.168.123.9","TCP","66","53538  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=2515672476 TSecr=2763000504"
"24","1.130351","192.168.123.9","192.168.123.17","TLSv1.3","769","Application Data"
"25","1.130371","192.168.123.17","192.168.123.9","TCP","66","53538  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=2515672476 TSecr=2763000504"
"28","1.153807","192.168.123.30","192.168.123.9","TCP","74","44210  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3523738021 TSecr=0 WS=128"
"29","1.153840","192.168.123.9","192.168.123.30","TCP","74","666  >  44210 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1986099537 TSecr=3523738021 WS=128"
"30","1.153876","192.168.123.30","192.168.123.9","TCP","66","44210  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3523738021 TSecr=1986099537"
"31","1.154179","192.168.123.30","192.168.123.9","TLSv1.3","353","Client Hello"
"32","1.154251","192.168.123.9","192.168.123.30","TCP","66","666  >  44210 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1986099538 TSecr=3523738022"
"33","1.155707","192.168.123.9","192.168.123.30","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"34","1.155739","192.168.123.30","192.168.123.9","TCP","66","44210  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=3523738023 TSecr=1986099539"
"35","1.158100","192.168.123.30","192.168.123.9","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"36","1.158127","192.168.123.9","192.168.123.30","TCP","66","666  >  44210 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=1986099542 TSecr=3523738026"
"37","1.158600","192.168.123.9","192.168.123.30","TLSv1.3","769","Application Data"
"38","1.158724","192.168.123.9","192.168.123.30","TLSv1.3","769","Application Data"
"39","1.158805","192.168.123.30","192.168.123.9","TCP","66","44210  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=3523738026 TSecr=1986099542"
"40","1.158837","192.168.123.30","192.168.123.9","TCP","66","44210  >  666 [ACK] Seq=978 Ack=2805 Win=62848 Len=0 TSval=3523738026 TSecr=1986099542"
"43","1.202981","192.168.123.35","192.168.123.9","TCP","74","36118  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3486157006 TSecr=0 WS=128"
"44","1.203020","192.168.123.9","192.168.123.35","TCP","74","666  >  36118 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=4132985944 TSecr=3486157006 WS=128"
"45","1.203049","192.168.123.35","192.168.123.9","TCP","66","36118  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3486157007 TSecr=4132985944"
"46","1.203310","192.168.123.35","192.168.123.9","TLSv1.3","353","Client Hello"
"47","1.203384","192.168.123.9","192.168.123.35","TCP","66","666  >  36118 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=4132985944 TSecr=3486157007"
"48","1.204821","192.168.123.9","192.168.123.35","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"49","1.204855","192.168.123.35","192.168.123.9","TCP","66","36118  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=3486157008 TSecr=4132985945"
"50","1.206128","192.168.123.35","192.168.123.9","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"51","1.206152","192.168.123.9","192.168.123.35","TCP","66","666  >  36118 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=4132985947 TSecr=3486157010"
"52","1.206934","192.168.123.9","192.168.123.35","TLSv1.3","769","Application Data"
"53","1.206952","192.168.123.35","192.168.123.9","TCP","66","36118  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=3486157010 TSecr=4132985947"
"54","1.207059","192.168.123.9","192.168.123.35","TLSv1.3","769","Application Data"
"55","1.207090","192.168.123.35","192.168.123.9","TCP","66","36118  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=3486157011 TSecr=4132985948"
"58","1.213730","192.168.123.36","192.168.123.9","TCP","74","57682  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3817717592 TSecr=0 WS=128"
"59","1.213765","192.168.123.9","192.168.123.36","TCP","74","666  >  57682 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1127427270 TSecr=3817717592 WS=128"
"60","1.213829","192.168.123.36","192.168.123.9","TCP","66","57682  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3817717592 TSecr=1127427270"
"61","1.214109","192.168.123.36","192.168.123.9","TLSv1.3","353","Client Hello"
"62","1.214161","192.168.123.9","192.168.123.36","TCP","66","666  >  57682 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1127427271 TSecr=3817717593"
"63","1.215298","192.168.123.9","192.168.123.36","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"64","1.215327","192.168.123.36","192.168.123.9","TCP","66","57682  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=3817717594 TSecr=1127427272"
"65","1.218435","192.168.123.36","192.168.123.9","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"66","1.218464","192.168.123.9","192.168.123.36","TCP","66","666  >  57682 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=1127427275 TSecr=3817717597"
"69","1.218783","192.168.123.29","192.168.123.9","TCP","74","44032  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1757120634 TSecr=0 WS=128"
"70","1.218813","192.168.123.9","192.168.123.29","TCP","74","666  >  44032 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1130303078 TSecr=1757120634 WS=128"
"71","1.218843","192.168.123.29","192.168.123.9","TCP","66","44032  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1757120634 TSecr=1130303078"
"72","1.219012","192.168.123.9","192.168.123.36","TLSv1.3","769","Application Data"
"73","1.219103","192.168.123.29","192.168.123.9","TLSv1.3","353","Client Hello"
"74","1.219148","192.168.123.9","192.168.123.36","TLSv1.3","769","Application Data"
"75","1.219156","192.168.123.9","192.168.123.29","TCP","66","666  >  44032 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1130303079 TSecr=1757120635"
"76","1.219227","192.168.123.36","192.168.123.9","TCP","66","57682  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=3817717598 TSecr=1127427276"
"77","1.219247","192.168.123.36","192.168.123.9","TCP","66","57682  >  666 [ACK] Seq=978 Ack=2805 Win=62848 Len=0 TSval=3817717598 TSecr=1127427276"
"78","1.220082","192.168.123.9","192.168.123.29","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"79","1.220117","192.168.123.29","192.168.123.9","TCP","66","44032  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=1757120636 TSecr=1130303080"
"80","1.221346","192.168.123.29","192.168.123.9","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"81","1.221380","192.168.123.9","192.168.123.29","TCP","66","666  >  44032 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=1130303081 TSecr=1757120637"
"82","1.221892","192.168.123.9","192.168.123.29","TLSv1.3","769","Application Data"
"83","1.221921","192.168.123.29","192.168.123.9","TCP","66","44032  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=1757120637 TSecr=1130303081"
"84","1.222029","192.168.123.9","192.168.123.29","TLSv1.3","769","Application Data"
"85","1.222046","192.168.123.29","192.168.123.9","TCP","66","44032  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=1757120638 TSecr=1130303082"
"88","1.225856","192.168.123.39","192.168.123.9","TCP","74","45546  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1597004905 TSecr=0 WS=128"
"89","1.225899","192.168.123.9","192.168.123.39","TCP","74","666  >  45546 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1929977724 TSecr=1597004905 WS=128"
"90","1.225947","192.168.123.39","192.168.123.9","TCP","66","45546  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1597004905 TSecr=1929977724"
"91","1.226321","192.168.123.39","192.168.123.9","TLSv1.3","353","Client Hello"
"92","1.226402","192.168.123.9","192.168.123.39","TCP","66","666  >  45546 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1929977725 TSecr=1597004906"
"95","1.227287","192.168.123.2","192.168.123.9","TCP","74","52952  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=619256880 TSecr=0 WS=128"
"96","1.227315","192.168.123.9","192.168.123.2","TCP","74","666  >  52952 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2835616890 TSecr=619256880 WS=128"
"97","1.227341","192.168.123.2","192.168.123.9","TCP","66","52952  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=619256881 TSecr=2835616890"
"98","1.227581","192.168.123.2","192.168.123.9","TLSv1.3","353","Client Hello"
"99","1.227602","192.168.123.9","192.168.123.39","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"100","1.227632","192.168.123.9","192.168.123.2","TCP","66","666  >  52952 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=2835616890 TSecr=619256881"
"101","1.227635","192.168.123.39","192.168.123.9","TCP","66","45546  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=1597004907 TSecr=1929977726"
"102","1.228966","192.168.123.9","192.168.123.2","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"103","1.229022","192.168.123.2","192.168.123.9","TCP","66","52952  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=619256883 TSecr=2835616891"
"104","1.229639","192.168.123.39","192.168.123.9","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"105","1.229675","192.168.123.9","192.168.123.39","TCP","66","666  >  45546 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=1929977728 TSecr=1597004909"
"106","1.230442","192.168.123.9","192.168.123.39","TLSv1.3","769","Application Data"
"107","1.230469","192.168.123.39","192.168.123.9","TCP","66","45546  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=1597004910 TSecr=1929977729"
"108","1.230574","192.168.123.9","192.168.123.39","TLSv1.3","769","Application Data"
"109","1.230591","192.168.123.39","192.168.123.9","TCP","66","45546  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=1597004910 TSecr=1929977729"
"110","1.232195","192.168.123.2","192.168.123.9","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"111","1.232226","192.168.123.9","192.168.123.2","TCP","66","666  >  52952 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=2835616895 TSecr=619256886"
"112","1.232649","192.168.123.9","192.168.123.2","TLSv1.3","769","Application Data"
"113","1.232678","192.168.123.2","192.168.123.9","TCP","66","52952  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=619256886 TSecr=2835616895"
"114","1.232784","192.168.123.9","192.168.123.2","TLSv1.3","769","Application Data"
"115","1.232801","192.168.123.2","192.168.123.9","TCP","66","52952  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=619256886 TSecr=2835616895"
