"No.","Time","Source","Destination","Protocol","Length","Info"
"15","3.993749","192.168.123.29","192.168.123.17","TCP","74","44230  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1893444517 TSecr=0 WS=128"
"16","3.993788","192.168.123.17","192.168.123.29","TCP","74","666  >  44230 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3314699827 TSecr=1893444517 WS=128"
"17","3.993821","192.168.123.29","192.168.123.17","TCP","66","44230  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1893444518 TSecr=3314699827"
"18","3.994096","192.168.123.29","192.168.123.17","TLSv1.3","353","Client Hello"
"19","3.994160","192.168.123.17","192.168.123.29","TCP","66","666  >  44230 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=3314699828 TSecr=1893444519"
"20","3.995597","192.168.123.17","192.168.123.29","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"21","3.995631","192.168.123.29","192.168.123.17","TCP","66","44230  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=1893444520 TSecr=3314699829"
"22","3.998300","192.168.123.29","192.168.123.17","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"23","3.998343","192.168.123.17","192.168.123.29","TCP","66","666  >  44230 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=3314699832 TSecr=1893444523"
"24","3.998857","192.168.123.17","192.168.123.29","TLSv1.3","769","Application Data"
"25","3.998960","192.168.123.17","192.168.123.29","TLSv1.3","769","Application Data"
"26","3.999068","192.168.123.29","192.168.123.17","TCP","66","44230  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=1893444524 TSecr=3314699832"
"27","3.999095","192.168.123.29","192.168.123.17","TCP","66","44230  >  666 [ACK] Seq=978 Ack=2805 Win=62848 Len=0 TSval=1893444524 TSecr=3314699833"
"30","4.016898","192.168.123.32","192.168.123.17","TCP","74","49422  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1645077176 TSecr=0 WS=128"
"31","4.016949","192.168.123.17","192.168.123.32","TCP","74","666  >  49422 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1670070902 TSecr=1645077176 WS=128"
"32","4.016991","192.168.123.32","192.168.123.17","TCP","66","49422  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1645077178 TSecr=1670070902"
"33","4.017324","192.168.123.32","192.168.123.17","TLSv1.3","353","Client Hello"
"34","4.017430","192.168.123.17","192.168.123.32","TCP","66","666  >  49422 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1670070903 TSecr=1645077178"
"35","4.018786","192.168.123.17","192.168.123.32","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"36","4.018821","192.168.123.32","192.168.123.17","TCP","66","49422  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=1645077179 TSecr=1670070904"
"37","4.022184","192.168.123.32","192.168.123.17","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"38","4.022214","192.168.123.17","192.168.123.32","TCP","66","666  >  49422 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=1670070908 TSecr=1645077183"
"39","4.022766","192.168.123.17","192.168.123.32","TLSv1.3","769","Application Data"
"40","4.022816","192.168.123.32","192.168.123.17","TCP","66","49422  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=1645077183 TSecr=1670070908"
"41","4.022931","192.168.123.17","192.168.123.32","TLSv1.3","769","Application Data"
"42","4.022949","192.168.123.32","192.168.123.17","TCP","66","49422  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=1645077184 TSecr=1670070908"
