"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.000155","192.168.123.4","192.168.123.6","TCP","74","57978  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3402229581 TSecr=0 WS=128"
"4","0.000181","192.168.123.6","192.168.123.4","TCP","74","666  >  57978 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=682228817 TSecr=3402229581 WS=128"
"5","0.000204","192.168.123.4","192.168.123.6","TCP","66","57978  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3402229581 TSecr=682228817"
"6","0.000475","192.168.123.4","192.168.123.6","TLSv1.3","353","Client Hello"
"7","0.000518","192.168.123.6","192.168.123.4","TCP","66","666  >  57978 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=682228818 TSecr=3402229582"
"8","0.002075","192.168.123.6","192.168.123.4","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"9","0.002102","192.168.123.4","192.168.123.6","TCP","66","57978  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=3402229583 TSecr=682228819"
"10","0.004320","192.168.123.4","192.168.123.6","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"11","0.004354","192.168.123.6","192.168.123.4","TCP","66","666  >  57978 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=682228822 TSecr=3402229586"
"12","0.004990","192.168.123.6","192.168.123.4","TLSv1.3","769","Application Data"
"13","0.005141","192.168.123.6","192.168.123.4","TLSv1.3","769","Application Data"
"14","0.005239","192.168.123.4","192.168.123.6","TCP","66","57978  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=3402229586 TSecr=682228822"
"15","0.005265","192.168.123.4","192.168.123.6","TCP","66","57978  >  666 [ACK] Seq=978 Ack=2805 Win=62848 Len=0 TSval=3402229587 TSecr=682228822"
"18","0.036528","192.168.123.2","192.168.123.6","TCP","74","60618  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1428706096 TSecr=0 WS=128"
"19","0.036556","192.168.123.6","192.168.123.2","TCP","74","666  >  60618 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=4096830036 TSecr=1428706096 WS=128"
"20","0.036578","192.168.123.2","192.168.123.6","TCP","66","60618  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1428706096 TSecr=4096830036"
"21","0.036899","192.168.123.2","192.168.123.6","TLSv1.3","353","Client Hello"
"22","0.036953","192.168.123.6","192.168.123.2","TCP","66","666  >  60618 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=4096830036 TSecr=1428706096"
"23","0.038665","192.168.123.6","192.168.123.2","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"24","0.038691","192.168.123.2","192.168.123.6","TCP","66","60618  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=1428706098 TSecr=4096830038"
"25","0.039830","192.168.123.2","192.168.123.6","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"26","0.039867","192.168.123.6","192.168.123.2","TCP","66","666  >  60618 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=4096830039 TSecr=1428706099"
