"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.000586","192.168.123.43","192.168.123.46","TCP","74","35986  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3685512111 TSecr=0 WS=128"
"4","0.000626","192.168.123.46","192.168.123.43","TCP","74","666  >  35986 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=4212714716 TSecr=3685512111 WS=128"
"5","0.000658","192.168.123.43","192.168.123.46","TCP","66","35986  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3685512112 TSecr=4212714716"
"6","0.000909","192.168.123.43","192.168.123.46","TLSv1.3","353","Client Hello"
"7","0.000975","192.168.123.46","192.168.123.43","TCP","66","666  >  35986 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=4212714716 TSecr=3685512112"
"8","0.002622","192.168.123.46","192.168.123.43","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"9","0.002653","192.168.123.43","192.168.123.46","TCP","66","35986  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=3685512114 TSecr=4212714718"
"10","0.006434","192.168.123.43","192.168.123.46","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"11","0.006480","192.168.123.46","192.168.123.43","TCP","66","666  >  35986 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=4212714721 TSecr=3685512117"
"12","0.007022","192.168.123.46","192.168.123.43","TLSv1.3","769","Application Data"
"13","0.007067","192.168.123.43","192.168.123.46","TCP","66","35986  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=3685512118 TSecr=4212714722"
"14","0.007210","192.168.123.46","192.168.123.43","TLSv1.3","769","Application Data"
"15","0.007248","192.168.123.43","192.168.123.46","TCP","66","35986  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=3685512118 TSecr=4212714722"
"18","0.013009","192.168.123.5","192.168.123.46","TCP","74","49452  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1496667711 TSecr=0 WS=128"
"19","0.013075","192.168.123.46","192.168.123.5","TCP","74","666  >  49452 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1503398920 TSecr=1496667711 WS=128"
"20","0.013109","192.168.123.5","192.168.123.46","TCP","66","49452  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1496667712 TSecr=1503398920"
"21","0.013354","192.168.123.5","192.168.123.46","TLSv1.3","353","Client Hello"
"22","0.013419","192.168.123.46","192.168.123.5","TCP","66","666  >  49452 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1503398920 TSecr=1496667712"
"23","0.014768","192.168.123.46","192.168.123.5","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"24","0.014802","192.168.123.5","192.168.123.46","TCP","66","49452  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=1496667714 TSecr=1503398922"
"25","0.016793","192.168.123.5","192.168.123.46","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"26","0.016841","192.168.123.46","192.168.123.5","TCP","66","666  >  49452 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=1503398924 TSecr=1496667716"
"27","0.017641","192.168.123.46","192.168.123.5","TLSv1.3","769","Application Data"
"28","0.017688","192.168.123.5","192.168.123.46","TCP","66","49452  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=1496667717 TSecr=1503398925"
"29","0.017869","192.168.123.46","192.168.123.5","TLSv1.3","769","Application Data"
"30","0.017904","192.168.123.5","192.168.123.46","TCP","66","49452  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=1496667717 TSecr=1503398925"
"33","0.021747","192.168.123.15","192.168.123.46","TCP","74","42140  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1267895312 TSecr=0 WS=128"
"34","0.021783","192.168.123.46","192.168.123.15","TCP","74","666  >  42140 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1831719839 TSecr=1267895312 WS=128"
"35","0.021813","192.168.123.15","192.168.123.46","TCP","66","42140  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1267895313 TSecr=1831719839"
"36","0.022080","192.168.123.15","192.168.123.46","TLSv1.3","353","Client Hello"
"37","0.022143","192.168.123.46","192.168.123.15","TCP","66","666  >  42140 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1831719839 TSecr=1267895313"
"38","0.024091","192.168.123.46","192.168.123.15","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"39","0.024139","192.168.123.15","192.168.123.46","TCP","66","42140  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=1267895315 TSecr=1831719841"
"40","0.031840","192.168.123.15","192.168.123.46","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"41","0.031877","192.168.123.46","192.168.123.15","TCP","66","666  >  42140 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=1831719849 TSecr=1267895323"
"42","0.032368","192.168.123.46","192.168.123.15","TLSv1.3","769","Application Data"
"43","0.032479","192.168.123.46","192.168.123.15","TLSv1.3","769","Application Data"
"44","0.032480","192.168.123.15","192.168.123.46","TCP","66","42140  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=1267895323 TSecr=1831719849"
"45","0.032510","192.168.123.15","192.168.123.46","TCP","66","42140  >  666 [ACK] Seq=978 Ack=2805 Win=62848 Len=0 TSval=1267895323 TSecr=1831719849"
"50","0.039257","192.168.123.64","192.168.123.46","TCP","74","53308  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2361221024 TSecr=0 WS=128"
"51","0.039268","192.168.123.32","192.168.123.46","TCP","74","35208  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=412865969 TSecr=0 WS=128"
"52","0.039294","192.168.123.46","192.168.123.64","TCP","74","666  >  53308 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1728735409 TSecr=2361221024 WS=128"
"53","0.039316","192.168.123.46","192.168.123.32","TCP","74","666  >  35208 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3383682123 TSecr=412865969 WS=128"
"54","0.039324","192.168.123.64","192.168.123.46","TCP","66","53308  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2361221025 TSecr=1728735409"
"55","0.039347","192.168.123.32","192.168.123.46","TCP","66","35208  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=412865970 TSecr=3383682123"
"56","0.039538","192.168.123.64","192.168.123.46","TLSv1.3","353","Client Hello"
"57","0.039552","192.168.123.32","192.168.123.46","TLSv1.3","353","Client Hello"
"58","0.039594","192.168.123.46","192.168.123.64","TCP","66","666  >  53308 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1728735410 TSecr=2361221025"
"59","0.039598","192.168.123.46","192.168.123.32","TCP","66","666  >  35208 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=3383682124 TSecr=412865971"
"60","0.040619","192.168.123.46","192.168.123.64","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"61","0.040652","192.168.123.64","192.168.123.46","TCP","66","53308  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=2361221027 TSecr=1728735411"
"62","0.040689","192.168.123.46","192.168.123.32","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"63","0.040723","192.168.123.32","192.168.123.46","TCP","66","35208  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=412865972 TSecr=3383682125"
"64","0.043538","192.168.123.32","192.168.123.46","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"65","0.043568","192.168.123.46","192.168.123.32","TCP","66","666  >  35208 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=3383682128 TSecr=412865974"
"66","0.044061","192.168.123.46","192.168.123.32","TLSv1.3","769","Application Data"
"67","0.044177","192.168.123.46","192.168.123.32","TLSv1.3","769","Application Data"
"68","0.044248","192.168.123.32","192.168.123.46","TCP","66","35208  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=412865975 TSecr=3383682128"
"69","0.044253","192.168.123.64","192.168.123.46","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"70","0.044271","192.168.123.32","192.168.123.46","TCP","66","35208  >  666 [ACK] Seq=978 Ack=2805 Win=62848 Len=0 TSval=412865975 TSecr=3383682128"
"71","0.044282","192.168.123.46","192.168.123.64","TCP","66","666  >  53308 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=1728735414 TSecr=2361221030"
"72","0.044787","192.168.123.46","192.168.123.64","TLSv1.3","769","Application Data"
"73","0.044891","192.168.123.46","192.168.123.64","TLSv1.3","769","Application Data"
