"No.","Time","Source","Destination","Protocol","Length","Info"
"287","0.224150","192.168.123.23","192.168.123.39","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"288","0.224194","192.168.123.39","192.168.123.23","TCP","66","38534  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=3663868006 TSecr=3973074121"
"289","0.226181","192.168.123.39","192.168.123.23","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"290","0.226228","192.168.123.23","192.168.123.39","TCP","66","666  >  38534 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=3973074124 TSecr=3663868007"
"291","0.226744","192.168.123.23","192.168.123.39","TLSv1.3","769","Application Data"
"292","0.226776","192.168.123.39","192.168.123.23","TCP","66","38534  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=3663868008 TSecr=3973074124"
"295","0.226908","192.168.123.23","192.168.123.39","TLSv1.3","769","Application Data"
"296","0.226925","192.168.123.39","192.168.123.23","TCP","66","38534  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=3663868008 TSecr=3973074124"
"299","0.227132","192.168.123.14","192.168.123.23","TCP","74","57056  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2115494074 TSecr=0 WS=128"
"300","0.227132","192.168.123.21","192.168.123.23","TCP","74","56716  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1735859676 TSecr=0 WS=128"
"301","0.227172","192.168.123.23","192.168.123.14","TCP","74","666  >  57056 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=595913630 TSecr=2115494074 WS=128"
"302","0.227172","192.168.123.23","192.168.123.21","TCP","74","666  >  56716 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3590957562 TSecr=1735859676 WS=128"
"303","0.227207","192.168.123.21","192.168.123.23","TCP","66","56716  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1735859677 TSecr=3590957562"
"304","0.227207","192.168.123.14","192.168.123.23","TCP","66","57056  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2115494075 TSecr=595913630"
"305","0.227380","192.168.123.6","192.168.123.23","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"306","0.227425","192.168.123.23","192.168.123.6","TCP","66","666  >  54352 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=2299422803 TSecr=4285870044"
"307","0.227532","192.168.123.21","192.168.123.23","TLSv1.3","353","Client Hello"
"308","0.227532","192.168.123.14","192.168.123.23","TLSv1.3","353","Client Hello"
"309","0.227616","192.168.123.23","192.168.123.21","TCP","66","666  >  56716 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=3590957562 TSecr=1735859677"
"310","0.227616","192.168.123.23","192.168.123.14","TCP","66","666  >  57056 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=595913630 TSecr=2115494075"
"311","0.228027","192.168.123.23","192.168.123.6","TLSv1.3","769","Application Data"
"312","0.228078","192.168.123.6","192.168.123.23","TCP","66","54352  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=4285870044 TSecr=2299422803"
"313","0.228246","192.168.123.23","192.168.123.6","TLSv1.3","769","Application Data"
