"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.000237","192.168.123.3","192.168.123.20","TCP","74","37548  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=692688310 TSecr=0 WS=128"
"4","0.000267","192.168.123.20","192.168.123.3","TCP","74","666  >  37548 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3750075598 TSecr=692688310 WS=128"
"5","0.000291","192.168.123.3","192.168.123.20","TCP","66","37548  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=692688310 TSecr=3750075598"
"6","0.000505","192.168.123.3","192.168.123.20","TLSv1.3","353","Client Hello"
"7","0.000559","192.168.123.20","192.168.123.3","TCP","66","666  >  37548 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=3750075599 TSecr=692688311"
"8","0.002119","192.168.123.20","192.168.123.3","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"9","0.002148","192.168.123.3","192.168.123.20","TCP","66","37548  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=692688312 TSecr=3750075600"
"10","0.003465","192.168.123.3","192.168.123.20","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"11","0.003502","192.168.123.20","192.168.123.3","TCP","66","666  >  37548 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=3750075602 TSecr=692688314"
"12","0.004147","192.168.123.20","192.168.123.3","TLSv1.3","769","Application Data"
"13","0.004258","192.168.123.3","192.168.123.20","TCP","66","37548  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=692688314 TSecr=3750075602"
"14","0.004327","192.168.123.20","192.168.123.3","TLSv1.3","769","Application Data"
"15","0.004353","192.168.123.3","192.168.123.20","TCP","66","37548  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=692688315 TSecr=3750075602"
"18","0.064302","192.168.123.6","192.168.123.20","TCP","74","53602  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2006090551 TSecr=0 WS=128"
"19","0.064327","192.168.123.20","192.168.123.6","TCP","74","666  >  53602 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=323067636 TSecr=2006090551 WS=128"
"20","0.064347","192.168.123.6","192.168.123.20","TCP","66","53602  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2006090552 TSecr=323067636"
"21","0.064572","192.168.123.6","192.168.123.20","TLSv1.3","353","Client Hello"
"22","0.064656","192.168.123.20","192.168.123.6","TCP","66","666  >  53602 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=323067637 TSecr=2006090552"
"23","0.066121","192.168.123.20","192.168.123.6","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"24","0.066164","192.168.123.6","192.168.123.20","TCP","66","53602  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=2006090553 TSecr=323067638"
"25","0.067557","192.168.123.6","192.168.123.20","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"26","0.067582","192.168.123.20","192.168.123.6","TCP","66","666  >  53602 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=323067640 TSecr=2006090555"
"27","0.067993","192.168.123.20","192.168.123.6","TLSv1.3","769","Application Data"
"28","0.068082","192.168.123.20","192.168.123.6","TLSv1.3","769","Application Data"
"29","0.068154","192.168.123.6","192.168.123.20","TCP","66","53602  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=2006090555 TSecr=323067640"
"30","0.068202","192.168.123.6","192.168.123.20","TCP","66","53602  >  666 [ACK] Seq=978 Ack=2805 Win=62848 Len=0 TSval=2006090555 TSecr=323067640"
"33","0.081648","192.168.123.22","192.168.123.20","TCP","74","49426  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3580663260 TSecr=0 WS=128"
"34","0.081687","192.168.123.20","192.168.123.22","TCP","74","666  >  49426 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2773986266 TSecr=3580663260 WS=128"
"35","0.081712","192.168.123.22","192.168.123.20","TCP","66","49426  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3580663261 TSecr=2773986266"
"36","0.081983","192.168.123.22","192.168.123.20","TLSv1.3","353","Client Hello"
"37","0.082039","192.168.123.20","192.168.123.22","TCP","66","666  >  49426 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=2773986266 TSecr=3580663261"
"38","0.083052","192.168.123.20","192.168.123.22","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"39","0.083102","192.168.123.22","192.168.123.20","TCP","66","49426  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=3580663262 TSecr=2773986267"
"40","0.084212","192.168.123.22","192.168.123.20","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"41","0.084242","192.168.123.20","192.168.123.22","TCP","66","666  >  49426 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=2773986268 TSecr=3580663263"
"42","0.084655","192.168.123.20","192.168.123.22","TLSv1.3","769","Application Data"
