"No.","Time","Source","Destination","Protocol","Length","Info"
"15","2.699445","192.168.123.22","192.168.123.24","TCP","74","55334  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=431599341 TSecr=0 WS=128"
"16","2.699488","192.168.123.24","192.168.123.22","TCP","74","666  >  55334 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3711903222 TSecr=431599341 WS=128"
"17","2.699521","192.168.123.22","192.168.123.24","TCP","66","55334  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=431599342 TSecr=3711903222"
"18","2.699764","192.168.123.22","192.168.123.24","TLSv1.3","353","Client Hello"
"19","2.699813","192.168.123.24","192.168.123.22","TCP","66","666  >  55334 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=3711903222 TSecr=431599342"
"20","2.701848","192.168.123.24","192.168.123.22","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"21","2.701889","192.168.123.22","192.168.123.24","TCP","66","55334  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=431599344 TSecr=3711903224"
"24","2.702631","192.168.123.35","192.168.123.24","TCP","74","44348  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3046778537 TSecr=0 WS=128"
"25","2.702659","192.168.123.24","192.168.123.35","TCP","74","666  >  44348 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1689024861 TSecr=3046778537 WS=128"
"26","2.702684","192.168.123.35","192.168.123.24","TCP","66","44348  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3046778537 TSecr=1689024861"
"28","2.702879","192.168.123.35","192.168.123.24","TLSv1.3","353","Client Hello"
"29","2.702935","192.168.123.24","192.168.123.35","TCP","66","666  >  44348 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1689024861 TSecr=3046778537"
"31","2.703102","192.168.123.27","192.168.123.24","TCP","74","34358  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1027802471 TSecr=0 WS=128"
"32","2.703143","192.168.123.24","192.168.123.27","TCP","74","666  >  34358 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2495846511 TSecr=1027802471 WS=128"
"33","2.703180","192.168.123.27","192.168.123.24","TCP","66","34358  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1027802472 TSecr=2495846511"
"34","2.703467","192.168.123.27","192.168.123.24","TLSv1.3","353","Client Hello"
