"No.","Time","Source","Destination","Protocol","Length","Info"
"15","3.978382","192.168.123.33","192.168.123.28","TCP","74","54620  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4154755266 TSecr=0 WS=128"
"16","3.978417","192.168.123.28","192.168.123.33","TCP","74","666  >  54620 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=196288493 TSecr=4154755266 WS=128"
"17","3.978444","192.168.123.33","192.168.123.28","TCP","66","54620  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4154755267 TSecr=196288493"
"18","3.978703","192.168.123.33","192.168.123.28","TLSv1.3","353","Client Hello"
"19","3.978782","192.168.123.28","192.168.123.33","TCP","66","666  >  54620 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=196288493 TSecr=4154755267"
"20","3.980465","192.168.123.28","192.168.123.33","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"21","3.980514","192.168.123.33","192.168.123.28","TCP","66","54620  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=4154755269 TSecr=196288495"
"24","3.981368","192.168.123.46","192.168.123.28","TCP","74","37530  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=107717631 TSecr=0 WS=128"
"25","3.981399","192.168.123.28","192.168.123.46","TCP","74","666  >  37530 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=482733061 TSecr=107717631 WS=128"
"26","3.981439","192.168.123.46","192.168.123.28","TCP","66","37530  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=107717632 TSecr=482733061"
"27","3.981641","192.168.123.46","192.168.123.28","TLSv1.3","353","Client Hello"
"28","3.981715","192.168.123.28","192.168.123.46","TCP","66","666  >  37530 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=482733061 TSecr=107717632"
"29","3.981732","192.168.123.33","192.168.123.28","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"30","3.981776","192.168.123.28","192.168.123.33","TCP","66","666  >  54620 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=196288496 TSecr=4154755270"
"31","3.982310","192.168.123.28","192.168.123.33","TLSv1.3","769","Application Data"
"32","3.982360","192.168.123.33","192.168.123.28","TCP","66","54620  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=4154755271 TSecr=196288497"
"33","3.982486","192.168.123.28","192.168.123.33","TLSv1.3","769","Application Data"
