"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"10.0.1.200",41342,"10.0.1.17",830,89,95668,48,86152,41,9516,41.624276,3.599109999999996,191496.23101266724,21151.895885371683
"10.0.1.200",42910,"10.0.1.35",830,89,97504,56,88528,33,8976,41.752825,3.634560999999998,194858.1960792515,19756.994035868443
"10.0.1.200",51718,"10.0.1.28",830,82,95618,49,86642,33,8976,41.91363,3.441773000000005,201389.22584377267,20863.665325981667
"10.0.1.200",34216,"10.0.1.13",830,93,103020,49,93306,44,9714,41.925542,3.666043000000002,203611.35971400214,21197.787369106132
"10.0.1.200",60738,"10.0.1.16",830,88,108370,47,98854,41,9516,41.950468,3.9369019999999963,200876.72997702274,19337.03201146487
"10.0.1.200",50778,"10.0.1.51",830,80,98334,46,89292,34,9042,41.967212,3.428480999999998,208353.49532343927,21098.556474427027
"10.0.1.200",43082,"10.0.1.66",830,85,100340,52,91352,33,8988,41.969354,3.519098999999997,207671.33860115916,20432.50275141451
"10.0.1.200",33998,"10.0.1.65",830,88,104526,55,95550,33,8976,42.028693,3.6027460000000033,212171.49363291202,19931.46338931469
"10.0.1.200",40108,"10.0.1.61",830,96,107474,51,97694,45,9780,42.032238,4.003121,195235.66737053412,19544.7502086497
"10.0.1.200",45182,"10.0.1.43",830,93,122928,51,113334,42,9594,42.08612,4.189220999999996,216429.73717547982,18321.306037566428
"10.0.1.200",44324,"10.0.1.74",830,90,115642,49,106114,41,9528,42.092112,3.7954170000000005,223667.64969435503,20083.168726914588
"10.0.1.200",49136,"10.0.1.69",830,88,111254,46,101660,42,9594,42.099286,4.320123000000002,188253.89925240545,17766.160824587623
"10.0.1.200",45542,"10.0.1.78",830,85,112428,45,102978,40,9450,42.103955,3.8214630000000014,215578.169931254,19782.99933821156
"10.0.1.200",33388,"10.0.1.72",830,85,102920,54,94076,31,8844,42.112958,3.601751,208956.14383115323,19643.77881758067
