-1.0;0;09:43:42.186532;09:43:42.976396;.789864
-1.0;1;09:43:42.998373;09:43:43.884405;.886032
-1.0;2;09:43:43.897419;09:43:44.788366;.890947
-1.0;3;09:43:44.786171;09:43:45.680483;.894312
-1.0;4;09:43:45.681148;09:43:46.636410;.955262
-1.0;5;09:43:46.674860;09:43:47.620375;.945515
-1.0;6;09:43:47.606345;09:43:48.580462;.974117
-1.0;7;09:43:48.587997;09:43:49.580400;.992403
-1.0;8;09:43:49.633949;09:43:50.632430;.998481
-1.0;9;09:43:50.673534;09:43:51.640424;.966890
-1.0;10;09:43:51.659787;09:43:52.664446;1.004659
-1.0;11;09:43:52.694733;09:43:53.696414;1.001681
-1.0;12;09:43:53.729512;09:43:54.744452;1.014940
-1.0;13;09:43:54.761667;09:43:55.784452;1.022785
-1.0;14;09:43:55.791751;09:43:56.860400;1.068649
-1.0;15;09:43:56.885726;09:43:57.948414;1.062688
-1.0;16;09:43:57.978212;09:43:58.992458;1.014246
-1.0;17;09:43:59.022431;09:44:52.157603;53.135172
-1.0;18;09:44:52.225806;09:44:53.348408;1.122602
-1.0;19;09:44:53.356506;09:44:54.496383;1.139877
-1.0;20;09:44:54.497318;09:44:55.648407;1.151089
-1.0;21;09:44:55.637172;09:44:56.668362;1.031190
-1.0;22;09:44:56.665352;09:44:57.692667;1.027315
-1.0;23;09:44:57.709414;09:44:58.904454;1.195040
-1.0;24;09:44:58.894997;09:45:00.092382;1.197385
-1.0;25;09:45:00.084473;09:45:01.296453;1.211980
-1.0;26;09:45:01.326522;09:45:02.572412;1.245890
-1.0;27;09:45:02.556091;09:45:03.788438;1.232347
-1.0;28;09:45:03.800284;09:45:04.996392;1.196108
-1.0;29;09:45:05.031504;09:45:06.248577;1.217073
-1.0;30;09:45:06.263949;09:45:07.516436;1.252487
-1.0;31;09:45:07.565361;09:45:08.820418;1.255057
-1.0;32;09:45:08.877949;09:45:10.072418;1.194469
-1.0;33;09:45:10.063969;09:45:11.216396;1.152427
-1.0;34;09:45:26.561691;09:45:27.744396;1.182705
-1.0;35;09:45:27.745294;09:45:28.944403;1.199109
-1.0;36;09:45:36.033595;09:45:37.288395;1.254800
-1.0;37;09:45:37.330619;09:45:38.592417;1.261798
-1.0;38;09:45:38.620857;09:45:39.860426;1.239569
-1.0;39;09:45:39.862058;09:45:41.092351;1.230293
-1.0;40;09:45:41.092770;09:45:42.276396;1.183626
-1.0;41;09:45:42.288335;09:45:43.564442;1.276107
